"id";"user_id";"product_id";"unit_id";"movement_id";"part_number";"photo";"file_terms";"status";"patrimony_id_1";"patrimony_id_2";"observations";"login_created";"created_at";"login_updated";"updated_at"
"1";"6";"4";"66";"2";"21187N0467";;"files/2024/11/6-ns-21187n0467.pdf";"actived";;;;"d788796";"2021-08-01 07:09:00";"d827394";"2024-11-04 10:26:09"
"2";"8";"4";"67";"2";"21186N008A";;"files/2024/11/8-21186n008a.pdf";"actived";;;;"d788796";"2021-08-01 00:00:00";"d827394";"2024-11-19 11:14:56"
"3";"1";"4";"22";"1";"21186N006F";;;"actived";;;"Conferido 11/04/2025 - Procurar com quem está. Leda trouxe a impressora 21187N0484";"d788796";"2021-08-01 00:00:00";"x538589";"2025-04-11 18:20:33"
"4";"10";"4";"38";"2";"21186N00CE";;"files/2024/11/10-ns-21186n00ce.pdf";"actived";;;;"d788796";"2021-08-01 00:00:00";"d827394";"2024-11-08 11:50:11"
"5";"11";"4";"38";"2";"21188N02B4";;"files/2024/11/11-21188n02b4.pdf";"actived";;;;"d788796";"2021-08-01 00:00:00";"d827394";"2024-11-07 10:24:16"
"6";"12";"4";"38";"2";"21186N00A5";;"files/2024/11/12-ns-21186n00a5.pdf";"actived";;;;"d788796";"2021-08-01 00:00:00";"d827394";"2024-11-08 10:59:44"
"7";"13";"4";"38";"2";"21182N0BE6";;"files/2024/11/13-21182n0be6.pdf";"actived";;;;"d788796";"2021-08-01 00:00:00";"d827394";"2024-11-05 10:52:37"
"8";"14";"4";"38";"2";"21173N077E";;"files/2024/11/14-21173n077e.pdf";"actived";;;;"d788796";"2021-08-01 00:00:00";"d827394";"2024-11-12 10:51:51"
"9";"15";"4";"66";"2";"21186N00C8";;"files/2024/11/15-ns-21186n00c8.pdf";"actived";;;;"d788796";"2021-08-01 00:00:00";"d827394";"2024-11-04 11:53:10"
"10";"391";"4";"61";"2";"21186N0091";;"files/2024/10/391-ronaldo-da-silva-bezerra-ns-21186n0091.pdf";"actived";;;;"d788796";"2021-08-01 00:00:00";"x033455";"2024-10-09 16:56:46"
"11";"1";"4";"22";"1";"21186N0097";;;"actived";;;"Conferido 11/04/2025";"d788796";"2021-08-01 00:00:00";"x538589";"2025-04-11 17:03:30"
"12";"22";"4";"39";"2";"21186N00D4";;"files/2024/11/22-ns-21186n00d4.pdf";"actived";;;;"d788796";"2021-08-01 00:00:00";"d827394";"2024-11-22 10:00:23"
